"genusName","feeding","basal","enrichment","structure","cp","GenavgMass","GenavgCPr","GenavgCRs","GenavgMFP","GenavgEFP","GenavgSFP","GenavgHFP","GenavgFFP","GenavgBFP","GenavgPFP","StderrMass","StderrCPr","StderrCRs","StderrMFP","StderrEFP","StderrSFP","StderrHFP","StderrFFP","StderrBFP","StderrPFP"
"Bathyeurystomina","0","0.0","0.0","3.2","4","23.2127","0.5803","2.6278","3.2081","0.0","3.2081","0.0","0.0","0.0","0.0","20.0097","0.5002","1.9742","2.4744","0.0","2.4744","0.0","0.0","0.0","0.0"
"Bathyodontus","3","0.0","0.0","3.2","4","1.7433","0.0436","0.4087","0.4522","0.0","0.4522","0.0","0.0","0.4522","0.0","0.221","0.0055","0.039","0.0445","0.0","0.0445","0.0","0.0","0.0445","0.0"
"Baujardia","3","0.0","3.2","0.0","1","6.9256","0.6926","1.1655","1.858","1.858","0.0","0.0","0.0","1.858","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Belaxellus","1","0.0","0.0","0.0","5","3.1451","0.0629","0.6447","0.7076","0.0","0.0","0.7076","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Belbolla","0","0.0","0.0","3.2","4","14.6674","0.3667","2.0461","2.4128","0.0","2.4128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Belondira","1","0.0","0.0","0.0","5","1.0298","0.0206","0.257","0.2776","0.0","0.0","0.2776","0.0","0.0","0.0","0.445","0.0089","0.0862","0.0951","0.0","0.0","0.0951","0.0","0.0","0.0"
"Belonolaimus","1","0.0","0.0","0.0","3","1.8741","0.0625","0.4306","0.493","0.0","0.0","0.493","0.0","0.0","0.0","0.3125","0.0104","0.0541","0.0645","0.0","0.0","0.0645","0.0","0.0","0.0"
"Bendiella","0","0.0","0.0","3.2","4","0.0587","0.0015","0.0326","0.034","0.0","0.034","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bernardius","0","0.0","0.0","3.2","4","2.4452","0.0611","0.5338","0.595","0.0","0.595","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Betulodera","1","0.0","0.0","0.0","3","134.8951","4.4965","10.8059","15.3024","0.0","0.0","15.3024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Beutschlinema","3","0.0","3.2","0.0","1","3.3435","0.3343","0.675","1.0094","1.0094","0.0","0.0","0.0","1.0094","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Binema","0","0.0","0.0","0.0","0","64.2696","0.0","6.1266","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.6157","0.0","0.789","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bitylenchus","1","0.0","0.0","0.0","3","0.333","0.0111","0.1165","0.1276","0.0","0.0","0.1276","0.0","0.0","0.0","0.0615","0.0021","0.0156","0.0176","0.0","0.0","0.0176","0.0","0.0","0.0"
"Blaticola","0","0.0","0.0","0.0","0","157.594","0.0","12.1428","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Boehmiella","0","0.0","0.0","0.0","0","2672.8704","0.0","97.7434","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1597.0128","0.0","46.4597","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bolbonema","0","0.0","0.0","1.8","3","1.061","0.0354","0.2854","0.3208","0.0","0.3208","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Boleodorus","1","0.0","0.0","0.0","2","0.1001","0.005","0.0479","0.0529","0.0","0.0","0.0529","0.0","0.0","0.0","0.0067","3.0E-4","0.0024","0.0027","0.0","0.0","0.0027","0.0","0.0","0.0"
"Boomerangia","1","0.0","0.0","0.0","2","0.0864","0.0043","0.0429","0.0472","0.0","0.0","0.0472","0.0","0.0","0.0","0.0336","0.0017","0.0128","0.0145","0.0","0.0","0.0145","0.0","0.0","0.0"
"Boreolaimus","8","0.0","0.0","3.2","4","2.9679","0.0742","0.5951","0.6693","0.0","0.6693","0.0","0.0","0.0","0.6693","0.6531","0.0163","0.1151","0.1313","0.0","0.1313","0.0","0.0","0.0","0.1313"
"Brachonchulus","5","0.0","0.0","3.2","4","1.0985","0.0275","0.2929","0.3204","0.0","0.3204","0.0","0.0","0.0","0.3204","0.0087","2.0E-4","0.0017","0.002","0.0","0.002","0.0","0.0","0.0","0.002"
"Brachydorus","1","0.0","0.0","0.0","3","0.974","0.0325","0.2624","0.2949","0.0","0.0","0.2949","0.0","0.0","0.0","0.3257","0.0109","0.0655","0.0764","0.0","0.0","0.0764","0.0","0.0","0.0"
"Bradynema","0","0.0","0.0","0.0","0","0.0923","0.0","0.0457","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brasilaimus","5","0.0","0.0","5.0","5","3.98","0.0796","0.7693","0.8489","0.0","0.8489","0.0","0.0","0.0","0.8489","0.029","6.0E-4","0.0042","0.0048","0.0","0.0048","0.0","0.0","0.0","0.0048"
"Buckleyatractis","0","0.0","0.0","0.0","0","1318.0917","0.0","59.7203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bunonema","3","0.0","3.2","0.0","1","0.0642","0.0064","0.0344","0.0408","0.0408","0.0","0.0","0.0","0.0408","0.0","0.0076","8.0E-4","0.0031","0.0038","0.0038","0.0","0.0","0.0","0.0038","0.0"
"Bursaphelenchus","2","0.8","0.8","0.0","2","0.2589","0.0129","0.0964","0.1093","0.1093","0.0","0.0","0.1093","0.0","0.0","0.0224","0.0011","0.0056","0.0067","0.0067","0.0","0.0","0.0067","0.0","0.0"
"Bursilla","3","0.0","3.2","0.0","1","0.4491","0.0449","0.1476","0.1925","0.1925","0.0","0.0","0.0","0.1925","0.0","0.0952","0.0095","0.0246","0.0341","0.0341","0.0","0.0","0.0","0.0341","0.0"
